woosley,, [人名] 伍斯利
woosnam,, [人名] 伍斯纳姆
Wooster,,n. 伍斯特（美国俄亥俄州的一个城市）；伍斯特（一家生产飞机模型的厂商）
Woosters,plural of Wooster,(Wooster 的复数) n. 伍斯特（美国俄亥俄州的一个城市）；伍斯特（一家生产飞机模型的厂商）
woot,,与“耶！”或“噢吼！”等感叹词类似
wooten,, [人名] [英格兰人姓氏] 伍滕 Wootton的变体
wooton,, [人名] [英格兰人姓氏] 伍顿 Wootton的变体
wootten,, [人名] [英格兰人姓氏] 伍滕 Wootton的变体
Wootton,,伍顿（人名）
wootz,"n. A species of steel imported from the East Indies, valued for\n   making edge tools; Indian steel. It has in combination a minute portion\n   of alumina and silica.","n. 伍兹钢,武氏坩埚钢"
woozier,s. having or causing a whirling sensation; liable to falling,"a. 虚弱的, 微醉的；头昏眼花的 (woozy的变形)"
wooziest,s. having or causing a whirling sensation; liable to falling,"a. 虚弱的, 微醉的；头昏眼花的 (woozy的变形)"
woozily,,昏昏沉沉地\n软弱无力地
wooziness,,n. woozy的变形
woozley,, [人名] 伍兹利
woozy,s having or causing a whirling sensation; liable to falling,"a. 头昏眼花的, 虚弱的"
wop,n. (ethnic slur) offensive term for a person of Italian descent,n. (美国)意大利移民
wops,n (ethnic slur) offensive term for a person of Italian descent,"n. <方>[昆](大)黄蜂,(大)胡蜂"
wor,,v. 磨破（穿）
worboys,, [人名] [英格兰人姓氏] 沃博伊斯 Warboys的变体
Worcester,n. United States lexicographer who was accused of plagiarism by Noah Webster (1784-1865)\nn. an industrial and university city in central Massachusetts to the west of Boston\nn. a cathedral city in west central England on the River Severn,伍斯特(①姓氏 ②英国城市 ③美国城市)
Worcester sauce,,n. 伍斯特沙司；伍斯特郡辣酱油
Worcestershire,n a savory sauce of vinegar and soy sauce and spices,伍斯特郡[英国英格兰原郡名]
Worcestershire sauce,,"辣酱油；伍斯特沙司（英国伍斯特市产的沙司, 用葱、蒜、香料、胡椒等熬煮加糖、盐、白醋等制成）"
Worcs,,abbr. Worcestershire
word,n. a unit of language that native speakers can identify\nn. a brief statement\nn. a verbal command for action\nn. a word is a string of bits stored in computer memory,"n. 话, 消息, 词, 诺言, 命令\nvt. 用言辞表达\n[计] 字"
word accent,,n. 字的重音
word and act,,[法] 言行
word blindness,,"n. 诵读困难\n[医] 文字盲, 视觉性失读"
word break,, 字的断开
word by mouth,,"[法] 口述, 口头表达"
word by word,,"一字一字地,一字不差地,逐字逐句地"
word capacity,,[计] 字长
word class,,[语] 词类
word count,,字数\n[计] 字数
word deafness,,[医] 辨语聋
word debris,,[医] 碎语(失语症患者发出的无意义音调)
word division,,[网络] 英语词的拆分；断词法；移行
word error probability,,[计] 误字概率
word family,,[计] 词族
word finder,,[网络] 找字词典
word for word,,逐字地
word form,, 词形
word format,,[电] 字格式
word game,, 猜字游戏，填字游戏，换字游戏
word length,,[计] 字长
word mark,,[计] 字标
word meaning,, 字义
word of advice,,[网络] 给你一个忠告；一点建议；给你一个建议
word of art,,[法] 新词录
word of farewell,,[网络] 告别的话
Word of God,,[网络] 神的道；神的话；上帝之道
word of honor,,[法] 诺言
word of limitation,,[法] 限制性的词句
word of mouth,,n. 口头传述的，口碑
word order,,n. 词序
word painting,,n. 文笔生动的描述
word pattern,,[电] 单词图案
word picture,,口头描述
word play,,[网络] 文字游戏；双关语；语言游戏
word problem of semi-Thue system,,[计] 半图厄系统的判字问题
word process,,文字处理
word processing,,文字处理\n[电] 文字处理
word processing control function,,[计] 字处理控制功能
word processing system,,[计] 字处理系统
word processor,,文字处理软件\n[计] 文字处理软件
word rate,,[电] 单词速率
word rest,,[机] 工作件挟器
word salad,, 语词杂拌
word select instruction,,[计] 字选择指令
word select register,,[计] 字选择寄存器
word sense,,n. 字意\n[网络] 辨识词义；字词知觉；字义
word separator,,[计] 字分隔符
word size,,[电] 单词尺寸
word space,,[计] 字空间
word square,,"n. 四方连词（将字母排成正方形, 横直均可读出相同的词）"
word stress,," 词重音, 单词重音"
word string,, 词语符列; 字串
word structure,,[网络] 字的结构；词汇结构；汉语的词语结构
word table,,[计] 字表
word template,,[计] 字样板
word terminal,,[计] 字终端
word terminal synchronous,,[计] 字同步终端
word time,,[计] 字时间
word time rate,,[计] 字时间率
word transfer instruction,,[计] 字传送指令
word triggering,,[计] 字触发
word underline,,字下加下划线\n[计] 字下加下划线
word underscore character,,[计] 字下划线符
"Word up, kids?","What your mom says when she's trying to be cool.  You know she says it.\n> ""Word up kids?  Yo yo yo the notorious M.O.M. is in the house, homeyz!  Better eat your veggies before I bust a cap on yo white ass.""\n> ""Your mom's fucked up, dude.""\n",
word vision,,[医] 文字视觉
Word Vomit,A point in a conversation where you say something that you really didn't mean to.\n> I told Robin that I saw Mike with some girl at the movie theater last night.  It just came out of my mouth like Word Vomit.\n,
word wire,,[计] 字线
word with variable length,,[计] 可变字长
word wrap,,自动换行\n[计] 字换行
word-association test,,【心理学】词联想测验
word-blind,a of or relating to or symptomatic of alexia,a. 失读症的
word-book,,n. 词典；字汇表；歌词集
word-books,plural of word-book,(word-book 的复数) n. 词典；字汇表；歌词集
word-boundaries,plural of word-boundary,(word-boundary 的复数) 词界；[计] 字边界
word-boundary,,词界；[计] 字边界
word-building,,n. 构词法
word-by-transfer,,"[计] 按字传送, 逐字传送"
word-class,,n. 词类；字类
word-classes,plural of word-class,(word-class 的复数) n. 词类；字类
word-deaf,,a. 辨语聋的
word-ending,,词尾
word-endings,plural of word-ending,(word-ending 的复数) 词尾
word-for-word,,"a. 逐字的, 逐字翻译的"
word-form,,词形
word-formation,,n. 构词(法)
word-forms,plural of word-form,(word-form 的复数) 词形
word-game,,"n. 猜字游戏, 填字游戏"
word-games,plural of word-game,"(word-game 的复数) n. 猜字游戏, 填字游戏"
word-hoard,,n. 词汇表
word-length,,[计] 字长
word-lengths,plural of word-length,(word-length 的复数) [计] 字长
word-list,,词汇表；[语] 单词表
word-lists,plural of word-list,(word-list 的复数) 词汇表；[语] 单词表
word-meaning,,词义
word-meanings,plural of word-meaning,(word-meaning 的复数) 词义
word-mongering,,[网络] 字m ering
word-of-mouth,s expressed orally,"a. 口头的, 口述的\n[法] 口头的, 口述的"
word-oriented computer,,[电] 字符导向电脑
word-painter,n. a writer of vivid or graphic descriptive power,n. 能用文字生动描述者
word-painting,,n. 用文字生动描述
word-pair,,词对
word-pairs,plural of word-pair,(word-pair 的复数) 词对
word-perfect,s correct to the last detail; especially being in or following the exact words,"a. 字字正确的, 背得滚瓜烂熟的"
word-picture,,文字图片；精彩生动的口头描述
word-pictures,plural of word-picture,(word-picture 的复数) 文字图片；精彩生动的口头描述
word-processor,,n. 文字（书）处理机
word-processors,plural of word-processor,(word-processor 的复数) n. 文字（书）处理机
word-serial,,[计] 字串行
word-spinning,,"n. 喋喋不休, 夸夸其谈"
word-splitter,,"[法] 咬文嚼字者, 诡辩者"
word-splitting,n making too fine distinctions of little importance,"n. 过分琐细地区分词义, 咬文嚼字"
word-string,,[计] 字串
word-strings,plural of word-string,(word-string 的复数) [计] 字串
word-worship,,[网络] 字崇拜
wordable,"to have the ability to place a concept or thought into words.\n> I love Leslie so much, it is not wordable.\n",
wordage,,"n. 文字, 一篇故事中的词汇量, 用词, 措词"
wordbook,n. a reference book containing words (usually with their meanings),"n. 字典, 歌词集\n[计] 工作簿"
worde,, [人名] 沃德
worded,v put into words or an expression,"vt. 措辞, 用词（word的过去式与过去分词形式）"
worden,, [人名] [英格兰人姓氏] 沃登住所名称，可能来源于古英语，含义是“堰+河谷”(weir+valley); [地名] [美国] 沃登
worder,n. A speaker.,n. ☉词；字\nvt. 用言语表达；措辞；[澳大利亚口语]通知；告知(常与 up 连用)\nvi. 讲话
worders' autonomy,,[法] 工人自治
worders' management,,[法] 工人自治
worders' supervision,,[法] 工人监督
wordes,plural of worde,(worde 的复数)  [人名] 沃德
wordfinder,,[网络] 牛津英语联想词典；联想辞书
wordier,s. using or containing too many words,文字的\n冗长的\n言语的\n口头的（wordy的比较级）
wordiest,s. using or containing too many words,a. 冗长的；口头的；唠叨的；文字的 (wordy的变形)
wordily,r in a verbose manner,"adv. 唠叨地, 罗唆地, 多言地"
wordiness,n boring verbosity,"n. 冗长, 多嘴"
wording,n. the manner in which something is expressed in words,"n. 用词, 措词"
wording depth,,"[机] 作用高度, 有效齿深, 工作深度"
wordings,plural of wording\nn. the manner in which something is expressed in words,"(wording 的复数) n. 用词, 措词"
wordish,a. Respecting words; full of words; wordy.,"a. 词语的, 言辞的; 多言的, 啰唆的"
wordless,s expressed without speech,"a. 沉默的, 无言的"
wordlessly,r without speaking,"adv. 默默无言地, 沉默地"
wordlessness,,n. wordless的变形
wordmonger,n. a writer who uses language carelessly or pretentiously with little regard for meaning," 卖文为生者, 舞文弄墨者"
wordmongering,,"n. 舞文弄墨,卖弄文字"
wordnet,, 一种基于认知语言学的英语词典。它不是光把单词以字母顺序排列，而且按照单词的意义组成一个“单词的网络”。
wordpad,,n. 写字板记事本
wordperfect,,n. 完美文书（字处理程序）
wordplay,n a humorous play on words,"n. 文字游戏, 俏皮话, 双关语"
wordpress,,n. 博客系统（软件名）
words,n. the words that are spoken\nn. language that is spoken or written,n. 言语；话语；字（word的复数）
words in UPPERCASE,,[计] 全部大写的单词
words of one syllable,,简单明了的话
Words pay no debts,,"空话不能还债, 空言无补"
words per minute,, 每分钟字数，每分字数
Words With Friends,"App used by cheaters to communicate and arrange shags behind their unsuspecting spouses; who think they are playing scrabble. The chat function is more useful than the game itself. as it allows messages to be deleted quickly leaving no evidence\n> Sharon, you're always playing Words with Firiends...\n> HMm thats what i want people to think. Dave and i use to send messages to each other without his wife suspecting anything.\n> Dave sends me a message using Words with Friends chat whenever he wants to meet up for a shag\n",
words with numbers,,[计] 含数字的单词
wordsearch,,n. 找词游戏（从排在格子里的字母中找出隐藏于其中的词）
wordsley,, [地名] [英国] 沃兹利
wordsmanship,,n. 写作艺术(或技巧)
wordsmith,n. a fluent and prolific writer,"n. 擅长文字的人, 舞文弄墨者；作家"
wordsmiths,plural of wordsmith\nn. a fluent and prolific writer,"(wordsmith 的复数) n. 擅长文字的人, 舞文弄墨者；作家"
WORDSTAR,,"“字星”程序（一种文字处理软件, 全屏幕正文编辑程序）"
wordsworth,n. a romantic English poet whose work was inspired by the Lake District where he spent most of his life (1770-1850),n. 华滋华斯（英国诗人）
Wordsworthian,a. in the manner of William Wordsworth,"n. (英国诗人)华兹华斯的追随者(或仿效者、赞赏者),华兹华斯(或其作品)的研究者(或权威)"
wordwrap,,"整字换行,字词绕回"
wordy,s using or containing too many words,"a. 罗唆的, 口头的, 多言的"
wore,v be dressed in\nv have on one's person\nv have in one's aspect; wear an expression of one's attitude or personality\nv deteriorate through use or stress\nv have or show an appearance of\nv last and be usable\nv go to pieces\nv exhaust or get tired through overuse or great strain or stress\nv put clothing on one's body,wear的过去式和过去分词
worenine,,"黄连宁, 甲基黄连碱"
worf,,n. (Worf)人名；(英)沃尔夫
work,n. activity directed toward making or doing something\nn. a product produced or accomplished through the effort or activity or agency of a person or thing\nn. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force\nv. exert oneself by doing mental or physical work for a purpose or out of necessity,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程\nvi. 工作, 劳动, 做, 运转, 起作用, 被加工\nvt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
work a friend,,[法] 骗取一个朋友的钱
work a machine,,"操作机器,制造机器"
work a marvel,,"创造奇蹟,发挥奇效"
work a mine,,"开矿,办矿,採矿"
work ability,,[医] 劳动能力
work against,,对…不利
work against the clock,,抢在某一时刻前完成工作
work against time,,抢时间完成工作
work allocation,,[经] 工作分配
work an abacus,,"用算盘,打算盘"
work analysis program,,[计] 工作分析程序
work animal,, 役畜
work area,,工作区域\n[计] 工作区
work area number,,[电] 工作区号码
work as,,"担任,从事"
work assembly,,[计] 工作汇编
work at,,解(题)
work at high pressure,,紧张地工作
work avalanche,,一大堆的工作
work away,,不停地连续工作
work bag,,[化] 工具袋
work basket,, 针线筐
work bench,, 钳桌，工作台
work bin,,[化] 零件盒
work book,,"[经] 工作规程, 工作手册"
work breakdown structure chart,,[计] 工作分类结构图
work breaking structure chart,,[计] 工作分解结构图
work brittleness,,[化] 加工脆性
work camp,,"[法] 囚犯劳动营, 劳动营地"
work capacity,,"[经] 工作能量, 工作量"
work category,,[法] 工种
work cell,,[计] 工作单元
work center,,[计] 工作中心\n[经] 工作中心
work clearance,,[化] 加工余隙
work clock,,[计] 工作时钟
work cloths,,[化] 工作服
work coefficient,,[医] 工作量系数
work coil,,[电] 工作线圈
work committee,,[经] 工厂委员会
work condition,,[化] 工况
work council,,[经] 工厂理事会
work cure,,[医] 工作疗法
work cycle,,[计] 工作周期
work data file,,[计] 工作数据文件
work data set,,[计] 工作数据集
work day,,[经] 工作日
work design,,[计] 工作设计\n[经] 工作设计
work distribution chart,,[计] 工作分配图
work disturbance,,[法] 制造动乱
work document,,[计] 工作文件
work double tides,,用加倍的时间工作
work environment,,[化] 工作环境
work ethic,, 职业伦理
work exercises,,做练习
work experience,,"n. 工作经验, 工作经验强化培训计划"
work factor test,,[化] 工作因素试验
work fare,,[经] 工作福利
work farm,,劳教农场
work feeder,,[化] 进给装置; 进刀装置
work file,,[计] 工作文件
work flow,,"[经] 业务流转, 业务顺序, 生产流程"
work flow analysis,,[经] 工作流转分析
work flow language,,[计] 工作流语言
work flow language job,,[计] 工作流语言
work for,,"为…工作,致力于…"
work for a dead horse,,v. 从事不可能有报酬的工作
work for a degree,,攻读学位
work for hire,,当雇工
work for its purpose,,"达到目的,发挥作用"
work for the extinction of,,"为消灭…而努力,促使…灭亡"
work force,,劳动力\n[经] 劳动力
work function,,[化] 逸出功; 自由能; 亥姆霍兹自由能
work great injury to,,对…造成很大损失
work hard,, 努力工作
work hardening,,[化] 加工硬化
work hardness,,[机] 加工硬度
work havoc on sb,,"对某人造成破坏,摧残某人"
work hot,"A person that may or may not be hot, but is the most attractive person in the set of people you work with so you lust after him/her.\n> Person 1: So this new girl at your work is she hot?\n> Person 2: Hell yeah...well I mean she's work hot.\n",
work hours,,[经] 工作时间
work in,,"(使)渐渐进入, 插进"
work in double harness,,同时工作
work in gangs,,分班组干活
work in private domain,,[法] 有版权的作品
work in process,,"[经] 在制品, 在产品"
work in process account,,[经] 在制(产)品帐户
work in process inventory,,"[经] 在产品盘存, 在制品盘存"
work in process ledger,,[经] 在制(产)品分类帐
work in progress,, 在制品，在产品； 进行中工作
work in public domain,,[法] 无版权的作品
work in relays,,"轮班工作,轮流干活"
work in with,,与...相配合
work influence on,,对…施加影响
work input,,[化] 机器的输入功
work it,,"完成, 做好"
work late into the night,,工作至深夜
work life,,[机] 有效期间
work like a charm,,有神效
work like a horse,,辛勤工作
work like a nigger,,被迫做苦工
work like a tiger,,生龙活虎地干活
work like magic,,"产生奇效,很灵验"
work load,,"[计] 工作负载, 工作装配\n[经] 工作量"
work load characteristic,,[计] 工作负载特性
work load management,,[计] 工作负载管理
work load model,,[计] 工作负载模型
work load model calibration,,[计] 工作负载模型校准
work locating fixture,,[化] 夹具; 夹紧装置
work loose,,松掉
work magic,,施展奇招
work management,,[计] 工作管理
work material,,[化] 加工材料
work measurement,,[计] 工作测度\n[经] 工作测定
work medium,,[化] 工质
work miracles,,创造奇蹟
work model,,[医] 工作模型
Work Mouth,"A form of self-censorship practiced at work to avoid offensive or cuss words. Typically includes cuss-replacements you learned from your grandma. Potentially embarrassing if accidentally used outside of work at parties or in the company of your drunk friends.\n\nMay also be used in the company of grandparents, teachers, preachers, and others who disapprove of cussing.\n\nDoes not apply to all professions. Musicians and construction workers have no need for a work mouth.\n> At work:\n> -Did you just say fuck?\n> -Yeah, sorry. I forgot to use my work mouth.\n> At a party:\n> -Did you just say fiddlesticks?\n> -Yeah, sorry. I still have my work mouth on.\n",
work obligation,,[经] 工作任务
work obligation expenses,,[经] 工作任务费用
work of adhesion,,[化] 粘附功
work of art,,n. 艺术作品
work of cohesion,,[化] 内聚功
work of deformation,,[化] 变形功
work of joint authorship,,[法] 合著作品
work of mind,,[法] 智力作品
work off,,"消除, 完成, 印出\n[经] 清偿"
work off arrears,,"做好扫尾工作,补还欠款"
work off steam,,努力工作花掉多余的精力
work on,,"继续工作, 设法说服, 影响"
work one's will upon sb,,把自己的意志强加于某人
work one's will upon sb.,,把自己意志强加给某人
work order,,"[化] 工作定单; 派工单\n[经] 工作通知单, 工作命令, 任务单"
work order ledger,,"[经] 工作通知单分类帐, 工作批次分类帐"
work origin,,[计] 工作原点
work out,,"设计出, 作出, 计算出, 做工抵偿\n[化] 编制"
work out a problem,,解出一道题目
work out a programme,,制定计划;设计程序
work out a solution,,得出解决办法
work output queue,,[计] 工作输出队列
work over,,"彻底检查, 研究, 重做, 殴打"
work over the beam,,[化] 架上操作
work overtime,,[经] 超过规定时间的工作
work pacing,,[经] 工作速度
work paid by the day,,[经] 日工
work pants,,工作裤
work papers,,[网络] 审计工作底稿
work paralysis,"n. the inability to get work done because of it's large quantity. Similar to writer's block, but applies to all work with a deadline.\n> the stack of paperwork had reached an all time high, and i was hit with work paralysis\n",
work party,,"工作组,工作班子;专门调查委员会"
work pattern,,[计] 工作模式
work people,,"[经] 工人们, 劳工们"
work period,,[计] 工作周期
work permit,,[法] 工作许可证
work piece,,[计] 工件\n[化] 工作物; 被加工件; 半制品
work place,,"[经] 工作场所, 车间, 工厂"
work placement,, 工读课程安排
work print,, 工作样片
work process scheduler,,[计] 工作处理调度程序
work product,,[法] 工作成果
work program,,"[经] 工作计划, 分配方案厂"
work queue,,[计] 工作队列
work queue entry,,[计] 工作队列入口
work release,, 监外就业（允许囚犯日间离开监狱外出工作的制度）
work request,,[化] 加工申请; 加工申请书
work room,,[经] 工作室
work round to,,"慢慢找到时间做某事,转向某种想法"
work sampling,,[计] 工作取样\n[经] 工作抽样
work sb up,,"激起, 引起...的情绪"
work schedule,,[计] 工作进度\n[经] 工作时间表
work screen,,[计] 工作荧光屏
work session,,"[计] 工作对话, 工作会话"
work sharing,,[经] 工作分担
work sheet,,"[经] 计算表, 工作单, 试算表"
work sheet for distribution,,[经] 分配计算表
work sheet method,,"[经] 试算法, 工作底稿法"
work shift,, 工作班次
work shoe,, 工作鞋
work shop,,"[计] 专题讨论会, 学术会议"
work short,,[医] 工作疗法
work slice,,[计] 工作时间片
work softening,,[化] 功致软化
work song,,劳动号子
work space,,"[计] 工作空间, 工作区\n[化] 工作室"
work space pointer,,[计] 工作区指示字
work space register,,[计] 工作区寄存器
work specification,,[化] 工作规范
work stack,,[计] 工作栈
work statement,,[化] 工作报告
work station,,[计] 工作站
work station entry,,[计] 工作站输入
work station name,,[计] 工作站名
work station of CAD,,[计] CAD工作站
work station structure diagram,,[计] 工作站结构图
work station transformation,,[计] 工作站图形变换
work station window,,[计] 工作站窗口
work status,,[法] 就业状况
work steady,,[化] 工件架
work sth off,,"消除, 排除, 清理, 偿清, 卖掉, 售出, 发泄"
work stoppage,,"[经] 停工抗议, (工人的)停工"
work storage,,"[计] 工作存储器, 操作存储器"
work study,,[经] 工作效率的研究
work study program,,[计] 工作研究程序
work style,,[法] 工作作风
work substance,,[化] 工质
work surface,, 工作面
work system,,[计] 工作系统
work table,,[计] 工作表
work tape,,[计] 工作磁带
work task,,[经] 工作任务
work test,,[化] 工作试验
work the clock round,,"连续工作一昼夜, 连续工作一整天"
work the religious dodge on sb,,以宗教为幌子要某人帮助
work the ropes,,"幕后牵线,暗中操纵"
work through,, （使）逐渐通过[穿过]; 完成; 解决; 闯过
work ticket,,[经] 工票
work time,,un. 有效工时\n[网络] 工作时间；上班时间；在线时间
work to rule,,怠工
work to the advantage of,,对…有利
work together,, 同…在同一处工作; 同事; 搭档; 合作
work towards,,为…而努力
work under public surveillance,,[法] 管制劳动
work under the lash,,被强迫劳动
work unit,,"[计] 工作单位, 工作单元\n[经] 工作单位"
work up,,"逐步建立, 逐步引起, 整理, 逐步发展"
work up sth,,"逐步建立起, 综合加工, 整理"
work up the imagination of,,引起…的想象
work up to,,"逐步发展, 逐渐形成"
work upon,,对...起作用；影响
work week,,"[经] 工作周, 一周的总工时"
work with,,"与…共事,与…协作"
work wonders,,"创造奇迹, 取得惊人的成就"
work&materials clause,,[经] 工作及材料条款
work's inspection certificate,,[化] 工厂检查证明书
work's weight,,[经] 工厂装出重量
work-around,, 排除故障软件
work-arounds,plural of work-around,(work-around 的复数)  排除故障软件
work-attitude,,工作态度
work-attitudes,plural of work-attitude,(work-attitude 的复数) 工作态度
work-back valuation method,,[经] 倒求价值法
work-bench,, [医]工作台
work-benches,plural of work-bench,(work-bench 的复数)  [医]工作台
work-blank,,[化] 毛坯
work-board,, 劳动局
work-book,,工作手册
work-books,plural of work-book,(work-book 的复数) 工作手册
work-card,,"练习卡, 派工单"
work-cards,plural of work-card,"(work-card 的复数) 练习卡, 派工单"
work-caused disability,,[法] 因工残废
work-caused injuries,,[法] 因工负伤
work-clothes,,[网络] 工作服；工装；工作衣
work-clothing,,[网络] 工作服；作业服；求购工作服
work-day,,"[法] 一日的工作时间, 工作日"
work-experience,,工作经验
work-experiences,plural of work-experience,(work-experience 的复数) 工作经验
work-force,," 工作人口, 劳动人口"
work-forces,plural of work-force,"(work-force 的复数)  工作人口, 劳动人口"
work-girl,,[法] 女工
work-group,,工作群体
work-groups,plural of work-group,(work-group 的复数) 工作群体
work-head,,工作台；工作主轴台；摇盘
work-heads,plural of work-head,(work-head 的复数) 工作台；工作主轴台；摇盘
work-horse,,"主力, 主要设备；役马"
work-horses,plural of work-horse,"(work-horse 的复数) 主力, 主要设备；役马"
work-hour,,工作时间
work-hours,plural of work-hour,(work-hour 的复数) 工作时间
work-house,,"[法] 感化院, 教养院, 贫民习艺所"
work-houses,plural of work-house,"(work-house 的复数) [法] 感化院, 教养院, 贫民习艺所"
work-in,n. occasion when workers continue to work as a protest against e.g. proposed dismissal or closure of the factory,n. 工作斗争
work-in-process,, 阶段产品，在制品
work-in-progress,,n. 在制品（完成部分生产程序）
work-ins,n. occasion when workers continue to work as a protest against e.g. proposed dismissal or closure of the factory,n. 在校停课示威；当班怠工示威
work-life balance,,n. 工作与生活的平衡
work-load,,n. 工作量; 工作负荷
work-loads,plural of work-load,(work-load 的复数) n. 工作量; 工作负荷
work-mate,,n. 同事；工友
work-mates,plural of work-mate,(work-mate 的复数) n. 同事；工友
work-out,,a. 市场疲软的
work-outs,plural of work-out,(work-out 的复数) a. 市场疲软的
work-parties,plural of work-party,(work-party 的复数) 工作小组
work-party,,工作小组
work-place,,"工作场所；车间, 工厂"
work-places,plural of work-place,"(work-place 的复数) 工作场所；车间, 工厂"
work-related,, [医]与工作有关的
work-related injury,,[经] 因公负伤
work-room,,[化] 工作室
work-schedule,,[化] 工作进度表
work-sheet,,试算表；[经管] 工作单；学生作业纸
work-sheets,plural of work-sheet,(work-sheet 的复数) 试算表；[经管] 工作单；学生作业纸
work-shirt,,[网络] 工作衬衫；工作衫；澳大利亚求购工作衬衫
work-shop,,n. 车间(干重活的地方)
work-shy,s disinclined to work or exertion,a. 怕工作的
work-soiled,,a. 因工作弄脏的
work-space,,[计] 工作区；工作室
work-spaces,plural of work-space,(work-space 的复数) [计] 工作区；工作室
work-station,,工作站
work-stations,plural of work-station,(work-station 的复数) 工作站
work-study,,n. 半工半读的
work-study program,, 半工半读
work-testing gage,,[化] 检查成品样板
work-testing gauge,,[化] 检查成品样板
work-to-rule,,n. 怠工
work-to-rules,plural of work-to-rule,(work-to-rule 的复数) n. 怠工
work-top,,"n. 工作台, 桌面；（厨房柜橱上的）操作面"
work-tops,plural of work-top,"(work-top 的复数) n. 工作台, 桌面；（厨房柜橱上的）操作面"
work-up,,"n. (病情的)检查, 污迹"
work-yard,,[化] 工作场地
workability,,n. 可使用性\n[化] 加工性; 可加工性; 可使用性; 施工性能
workable,s capable of being done with means at hand and circumstances as they are,"a. 可经营的, 可使用的\n[机] 能工作的, 机械等能使用的, 材料等可加工的"
workable soil,,可耕地
workable system,,[法] 切实可行的制度
workableness,,n. 可行; 可使用
workably,,adv. 可行地，可使用地
workaday,s found in the ordinary course of events,"a. 工作日的, 平常日子的, 普通的\n[法] 工作日的, 日常的, 普通的"
workaholic,n. person with a compulsive need to work,"n. 工作迷, 醉心于工作的人\n[法] 为免遭辞退而工作过份卖力的人"
workaholics,n. person with a compulsive need to work,n. <非正>工作狂( workaholic的复数形式 )
workaholism,n. compulsiveness about working,"n. 醉心工作, 迷恋工作"
workalike,,a. (计算机)软件通用型的
workaround,,n. 工作区；变通方案；权变措施
workbag,n container for holding implements and materials for work (especially for sewing),"n. 针线袋, 工具袋"
workbasket,n. container for holding implements and materials for work (especially for sewing),n. 工具筐
workbench,n. a strong worktable for a carpenter or mechanic,n. 工作台\n[化] 成型台
workbench compiler,,[计] 工作台编译程序
workbenches,n. a strong worktable for a carpenter or mechanic,"n. 工作台, 作业台( workbench的复数形式 )"
workblank,,毛坯
workboard,n a horizontal board that provides a supported surface for manual work,n. 工作(台)板
workboat,,n. 工作船
workboats,plural of workboat,(workboat 的复数) n. 工作船
workbook,n. a student's book or booklet containing problems with spaces for solving them,"n. 辅助练习册, 工作规程书, 工作记事簿, 笔记本, 工作手册\n[计] 工作簿"
workbook options,,[计] 工作簿选项
workbooks,n. a student's book or booklet containing problems with spaces for solving them,"n. 练习本, 作业本( workbook的复数形式 )"
workbox,n container for holding implements and materials for work (especially for sewing),"n. 工具箱, 针线盒"
workday,n. a day on which work is done\nn. the amount of time that a worker must work for an agreed daily wage,"n. 工作日, (一天的)工作时数\n[机] 工作天"
workdays,n. a day on which work is done\nn. the amount of time that a worker must work for an agreed daily wage,n. 工作日( workday的复数形式 ); 平日（指非假日）; （一个）工作日; 一天的工作时间
worke,,n. (Worke)人名；(埃塞)沃克
worked,"v exert oneself by doing mental or physical work for a purpose or out of necessity\nv be employed\nv have an effect or outcome; often the one desired or expected\nv perform as expected when applied\nv shape, form, or improve a material\nv give a workout to\nv proceed along a path\nv operate in a certain place, area, or specialty\nv proceed towards a goal or along a path or through an activity\nv move in an agitated manner\nv cause to happen or to occur as a consequence\nv cause to work\nv prepare for crops\nv behave in a certain way when handled\nv have and exert influence or effect\nv operate in or through\nv cause to operate or function\nv provoke or excite\nv gratify and charm, usually in order to influence\nv make something, usually for a specific function\nv move into or onto\nv make uniform\nv use or manipulate to one's advantage\nv find the solution to (a problem or question) or understand the meaning of\nv cause to undergo fermentation\nv go sour or spoil\nv arrive at a certain condition through repeated motion",work的过去式和过去分词
worked out,,adj. 采空的\nv. 被算出，据计算
worked penetration,,[建] 用过的渗入度
worked up,,"兴奋的, 情绪激动的, 烦燥不安的"
worker,n. a person who works at a specific occupation\nn. sterile member of a colony of social insects that forages for food and cares for the larvae,"n. 工人, 劳动者\n[经] 工人, 劳工, 劳动者"
worker bee,,工蜂
worker labour productivity,,[化] 工人劳动生产率
worker's compensation insurance,,[经] 工人抚恤(补偿)保险
worker's information system,,[经] 工人信息系统
worker's insurance,,[经] 职工保险
worker's participation in management,,[经] 工人参加管理
worker-cadre,,n. 工人干部
worker-director,,职工董事\n工人董事
worker-directors,plural of worker-director,(worker-director 的复数) 职工董事\n工人董事
worker-engineer,,n. 工人工程师
worker-peasant,,"a. 工人和农民的, 工农的"
worker-peasant-soldier,,a. 工农兵的
worker-priest,, 工蚁
worker-priests,plural of worker-priest,(worker-priest 的复数)  工蚁
worker-student,,n. 工人学员\na. 工人和学生的
worker-teacher,,n. 工人教师
worker-technician,,n. 工人技术员
workerist,,a. 强调工人利益的社会观的
